source,source_id,brand,component_name,component_url,component_category,image_url,specs_json,market_offers_json,quality_reviews_json
official_sram,https://www.sram.com/en/sram/mountain/collections/brakes,sram,SRAM BRAKES,https://www.sram.com/en/sram/mountain/collections/brakes,,https://www.sram.com/globalassets/publicsites/00_campaign-assets/sm/brakes---motive-update/21_sm_brakes_rotor_sizes_f.gif,[],"[{""source"": ""bike_components"", ""title"": ""up to -10 % Rating: 4.5 of 5 based on 21 reviews (21) SRAM HS2 6-Bolt Brake Rotor from 27.99€"", ""price_text"": ""27.99€"", ""manufacturer"": ""SRAM"", ""url"": ""https://www.bike-components.de/en/SRAM/HS2-6-Bolt-Brake-Rotor-p84482/""}, {""source"": ""bike_components"", ""title"": ""SRAM Maven Ultimate Stealth F+R Disc Brake Set 369.00€"", ""price_text"": ""369.00€"", ""manufacturer"": ""SRAM"", ""url"": ""https://www.bike-components.de/en/SRAM/Maven-Ultimate-Stealth-F-R-Disc-Brake-Set-p93055/""}, {""source"": ""bike_components"", ""title"": ""SRAM Force E1 AXS HRD disc brake with shift/brake lever 210.99€"", ""price_text"": ""210.99€"", ""manufacturer"": ""SRAM"", ""url"": ""https://www.bike-components.de/en/SRAM/Force-E1-AXS-HRD-disc-brake-with-shift-brake-lever-p96641/""}]","[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Motive Ultimate Expert brakes provide solid stopping but lack outright power for tougher trails The Motives prove to be good all-rounders Show more 655 599 585 Read Disc Brake Systems Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/brakes/disc-brake-systems/sram-motive-ultimate-expert-brake-kit-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/collections/eagle-powertrain,sram,EAGLE POWERTRAIN,https://www.sram.com/en/sram/mountain/collections/eagle-powertrain,,,[],[],"[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/collections/eagle-transmission,sram,EAGLE TRANSMISSION,https://www.sram.com/en/sram/mountain/collections/eagle-transmission,,,[],[],"[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/series/eagle-70-transmission,sram,EAGLE 70 TRANSMISSION,https://www.sram.com/en/sram/mountain/series/eagle-70-transmission,,,[],[],"[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/series/eagle-90-transmission,sram,SRAM EAGLE 90 TRANSMISSION,https://www.sram.com/en/sram/mountain/series/eagle-90-transmission,,,[],[],"[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/series/eagle-drivetrain,sram,EAGLE DRIVETRAIN,https://www.sram.com/en/sram/mountain/series/eagle-drivetrain,,,[],"[{""source"": ""bike_components"", ""title"": ""SRAM Force XG-1270 E1 12-speed cassette from 109.99€"", ""price_text"": ""109.99€"", ""manufacturer"": ""SRAM"", ""url"": ""https://www.bike-components.de/en/SRAM/Force-XG-1270-E1-12-speed-cassette-p96652/""}]","[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/series/eagle-drivetrain/collection,sram,EAGLE DRIVETRAIN,https://www.sram.com/en/sram/mountain/series/eagle-drivetrain/collection,,https://www.sram.com/common/img/ajax.gif,[],"[{""source"": ""bike_components"", ""title"": ""SRAM Force XG-1270 E1 12-speed cassette from 109.99€"", ""price_text"": ""109.99€"", ""manufacturer"": ""SRAM"", ""url"": ""https://www.bike-components.de/en/SRAM/Force-XG-1270-E1-12-speed-cassette-p96652/""}]","[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/series/eagle-transmission-1987-collection,sram,Eagle Transmission 1987 Collection | SRAM,https://www.sram.com/en/sram/mountain/series/eagle-transmission-1987-collection,,,[],[],"[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/series/gx-eagle-transmission,sram,GX EAGLE TRANSMISSION,https://www.sram.com/en/sram/mountain/series/gx-eagle-transmission,,,[],[],"[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
official_sram,https://www.sram.com/en/sram/mountain/series/gx-eagle/gx-eagle,sram,GX EAGLE,https://www.sram.com/en/sram/mountain/series/gx-eagle/gx-eagle,,https://www.sram.com/common/img/ajax.gif,[],[],"[{""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle Powertrain By integrating motor and shifting components, SRAM opens the door to new levels of automation Show more Not available aftermarket Read Electric Bike Motors Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/electric-bike-motors/sram-eagle-powertrain-review""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM XX SL Eagle AXS Transmission is equally at home on my enduro bike and my race bike Unsurpassed shifting performance, but at a high price Show more 3250 2699 2890 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-xx-sl-eagle-axs-transmission""}, {""source"": ""bikeradar"", ""title"": ""Review | SRAM Eagle 90 Transmission is the best mechanical drivetrain yet, but Shimano does one thing better Robust mechanical drivetrain that shifts when you want it to Show more 655 Read Mountain Bike Groupset Read more"", ""brand_hint"": null, ""summary"": null, ""url"": ""https://www.bikeradar.com/reviews/reviews/components/groupsets/groupset-mountain/sram-eagle-90-transmission-review""}]"
